text,label
"Your account has been suspended. Click here to verify.",phishing
"Congratulations! You've won a free iPhone. Claim now!",phishing
"Urgent! Your bank account will be locked. Login to confirm.",phishing
"Update your payment details immediately to avoid suspension.",phishing
"Final warning: Verify your identity now or lose access.",phishing
"Click the link below to reset your password securely.",phishing
"You have received a package. Pay customs fee to release.",phishing
"Win a free vacation trip by filling this form.",phishing
"Your tax refund is ready. Submit details to claim.",phishing
"Dear user, verify your email or your account will close.",phishing
"Unusual activity detected. Login to secure your account.",phishing
"Get rich quick! Double your money in 24 hours.",phishing
"Reset your password by clicking the link below.",phishing
"Lottery draw winner! Send details to receive funds.",phishing
"Claim your free gift card today. Limited offer!",phishing
"Security alert: Your account needs verification now.",phishing
"Update billing info to continue your subscription.",phishing
"You have unpaid dues. Pay immediately to avoid penalties.",phishing
"Click here to activate two-factor authentication.",phishing
"Payment failed! Re-enter your credit card details.",phishing
"Meeting scheduled at 10 AM tomorrow.",legitimate
"Please review the attached project report.",legitimate
"Happy birthday! Wishing you a wonderful year ahead.",legitimate
"Your order has been shipped and will arrive soon.",legitimate
"Reminder: Submit your assignment by 5 PM today.",legitimate
"Join the Zoom call at 3 PM using the link below.",legitimate
"Thank you for your payment. Invoice attached.",legitimate
"Your subscription has been successfully renewed.",legitimate
"Welcome to the course. Orientation starts Monday.",legitimate
"Weekly team meeting agenda attached for review.",legitimate
"Looking forward to our lunch meeting tomorrow.",legitimate
"Your train ticket has been booked successfully.",legitimate
"Please approve the leave request by today.",legitimate
"New updates have been deployed on the server.",legitimate
"Congratulations on your promotion!",legitimate
"Don’t forget the doctor’s appointment at 4 PM.",legitimate
"Flight booking confirmed. Boarding pass attached.",legitimate
"Project deadline extended by one week.",legitimate
"Family dinner scheduled for Sunday evening.",legitimate
"Invoice paid successfully. Transaction complete.",legitimate
